univ,docs,cites,top_papers,cpp,country,cluster,tier,sim_to_ECNU
AGCY HLTH TECHNOL ASSESSMENT & TARIFF SYST,46.0,30494.0,18.0,662.91,nan,0,Type-0,-0.7096904841881626
AGCY PREVENT & SOCIAL MED,38.0,13885.0,7.0,365.39,nan,0,Type-0,-0.9658830992660888
AGCY PREVENT AND SOCIAL MED,1.0,4621.0,1.0,4621.0,nan,3,Type-3,-0.18769736210024693
AGENCE BIOMED,252.0,4510.0,4.0,17.9,nan,0,Type-0,-0.8453568462401095
AGENCE DE MEDECINE PREVENTIVE,27.0,25548.0,13.0,946.2200000000001,FRANCE,0,Type-0,-0.5457069849446882
"AGENCE NATIONALE DE SECURITE SANITAIRE DE L'ALIMENTATION, DE L'ENVIRONNEMENT DU TRAVAIL (ANSES)",2201.0,40781.0,23.0,18.529813721035893,FRANCE,0,Type-0,-0.744730352522071
AGENCIA ESTATAL DE METEOROLOGIA (AEMET),387.0,8619.0,8.0,22.27,SPAIN,0,Type-0,-0.8431315251507681
AGENCY FOR HEALTHCARE RESEARCH & QUALITY,510.0,12416.0,14.0,24.344901960784313,USA,0,Type-0,-0.8370814621488041
AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH (A*STAR),23165.0,899977.0,792.0,38.8505806173106,SINGAPORE,2,Type-2,0.9571416666690176
"AGENCY OF DEFENSE DEVELOPMENT (ADD), REPUBLIC OF KOREA",1279.0,10665.0,0.0,8.34,SOUTH KOREA,0,Type-0,-0.8049565059462752
AGENSI NUKLEAR MALAYSIA,634.0,21178.0,6.0,33.4,MALAYSIA,0,Type-0,-0.8464755477164454
AGENZIA SPAZIALE ITALIANA (ASI),1316.0,92975.0,84.0,70.65,ITALY,0,Type-0,-0.6895622412918382
AGEO CENT GEN HOSP,204.0,6115.0,8.0,29.98,nan,0,Type-0,-0.8560668094249989
AGH UNIVERSITY OF KRAKOW,16987.0,232824.0,151.0,13.704283864131396,POLAND,0,Type-0,0.8313795453411172
AGHARKAR RESEARCH INSTITUTE (ARI),253.0,6391.0,21.0,25.26,INDIA,0,Type-0,-0.8398331147636439
AGILENT TECHNOLOGIES,442.0,8876.0,4.0,20.08,USA,0,Type-0,-0.8418941938076246
AGING RES CTR,4.0,4683.0,1.0,1170.75,nan,0,Type-0,-0.4844648643997852
AGIOS PHARMACEUTICALS,101.0,10087.0,18.0,99.87,USA,0,Type-0,-0.9197891894535043
AGR MINIST CHINA,55.0,3141.0,10.0,57.11000000000001,nan,0,Type-0,-0.8853587190293479
AGR RES EDUC & EXTENS ORG,435.0,5686.0,2.0,13.07,nan,0,Type-0,-0.8367079039149085
AGR RES EDUC & EXTENS ORG AREEO,1626.0,11031.0,21.0,6.78760147601476,nan,0,Type-0,-0.7730852608835005
AGR RES ORG,484.0,9012.0,4.0,18.620619834710745,nan,0,Type-0,-0.8392190594090226
AGRESEARCH - NEW ZEALAND,2271.0,41685.0,27.0,18.354095112285336,NEW ZEALAND,0,Type-0,-0.7359403535420557
AGRI-FOOD & BIOSCIENCES INSTITUTE,885.0,18195.0,17.0,20.556158192090393,NORTHERN IRELAND,0,Type-0,-0.8181283030715497
AGRICULTURAL RESEARCH CENTER - EGYPT,4555.0,62608.0,76.0,13.74647639956092,EGYPT,0,Type-0,-0.38827054768467295
AGRICULTURAL RESEARCH COUNCIL OF SOUTH AFRICA,1202.0,14783.0,11.0,12.29504159733777,SOUTH AFRICA,0,Type-0,-0.8036744587413052
AGRICULTURAL UNIVERSITY OF ATHENS,2666.0,53480.0,33.0,20.06120030007502,GREECE,0,Type-0,-0.6971401337589491
AGRICULTURAL UNIVERSITY PESHAWAR,958.0,11958.0,12.0,12.479958246346554,PAKISTAN,0,Type-0,-0.812298448387659
AGRICULTURE & AGRI FOOD CANADA,8436.0,185157.0,135.0,21.949198672356566,CANADA,0,Type-0,0.743769464611761
"AGRICULTURE GENOMES INSTITUTE AT SHENZHEN, CAAS",1347.0,25294.0,76.0,18.776763177431327,CHINA MAINLAND,0,Type-0,-0.7049584168504849
AGRICULTURE VICTORIA,208.0,3393.0,3.0,16.31,AUSTRALIA,0,Type-0,-0.8456357678771803
"AGRO-ENVIRONMENTAL PROTECTION INSTITUTE, CAAS",811.0,22320.0,10.0,27.51838471023428,CHINA MAINLAND,0,Type-0,-0.8321123243451725
AGROCAMPUS OUEST,1483.0,43699.0,30.0,29.464639244774105,FRANCE,0,Type-0,-0.7844576046517712
AGROPARISTECH,10965.0,313874.0,256.0,28.624157774737803,FRANCE,0,Type-0,0.9595566131909655
AGROSUP DIJON,4187.0,117160.0,94.0,27.981454502030093,FRANCE,0,Type-0,-0.2025258391410631
AHEPA UNIVERSITY HOSPITAL,1545.0,29476.0,29.0,19.08,GREECE,0,Type-0,-0.7769648295507231
AHMADU BELLO UNIVERSITY,1078.0,107883.0,96.0,100.07705009276438,NIGERIA,0,Type-0,-0.6680203035708452
AHSANULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY (AUST),246.0,7869.0,17.0,31.99,BANGLADESH,0,Type-0,-0.8504137200158621
AHVAZ JUNDISHAPUR UNIVERSITY OF MEDICAL SCIENCES (AJUMS),3375.0,121531.0,86.0,36.008794074074075,IRAN,0,Type-0,-0.35632384598132016
AICHI CANCER CENTER,2478.0,103089.0,120.0,41.6,JAPAN,0,Type-0,-0.3700503397476977
AICHI GAKUIN UNIVERSITY,512.0,6905.0,0.0,13.49,JAPAN,0,Type-0,-0.8359615075964995
AICHI MEDICAL UNIVERSITY,2876.0,47081.0,36.0,16.367938108484008,JAPAN,0,Type-0,-0.6793538258034758
AIDC EC,3.0,9730.0,3.0,3243.33,nan,3,Type-3,-0.22689657005509403
AIMST UNIVERSITY,79.0,4465.0,11.0,56.519999999999996,MALAYSIA,0,Type-0,-0.8836477822954552
AIN SHAMS UNIVERSITY,17941.0,360793.0,231.0,20.109422551697236,EGYPT,0,Type-0,0.9479008529152265
AINTREE UNIV,9.0,8789.0,4.0,976.56,nan,0,Type-0,-0.5547455232912558
AINTREE UNIV HOSP NATL HLTH SERV FDN TRUST NHS,3.0,8770.0,2.0,2923.33,nan,3,Type-3,-0.24282389175810468
