univ,country,docs,cites,cpp,top_papers,subject
CGIAR,FRANCE,5262.0,107193.0,20.37,69.0,AGRICULTURAL SCIENCES
HUAZHONG AGRICULTURAL UNIVERSITY,CHINA MAINLAND,4855.0,97482.0,20.08,68.0,AGRICULTURAL SCIENCES
UNIVERSIDADE DE SAO PAULO,BRAZIL,6169.0,95242.0,15.44,35.0,AGRICULTURAL SCIENCES
JIANGSU UNIVERSITY,CHINA MAINLAND,4084.0,89040.0,21.8,176.0,AGRICULTURAL SCIENCES
STATE UNIVERSITY SYSTEM OF FLORIDA,USA,5172.0,86527.0,16.73,62.0,AGRICULTURAL SCIENCES
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),FRANCE,4113.0,81348.0,19.78,60.0,AGRICULTURAL SCIENCES
CORNELL UNIVERSITY,USA,3551.0,78744.0,22.18,59.0,AGRICULTURAL SCIENCES
UNIVERSITY OF CALIFORNIA DAVIS,USA,3908.0,78346.0,20.05,64.0,AGRICULTURAL SCIENCES
UNIVERSITY OF QUEENSLAND,AUSTRALIA,3401.0,76491.0,22.49,58.0,AGRICULTURAL SCIENCES
UNIVERSIDADE ESTADUAL DE CAMPINAS,BRAZIL,3456.0,74547.0,21.57,44.0,AGRICULTURAL SCIENCES
NORTHEAST AGRICULTURAL UNIVERSITY - CHINA,CHINA MAINLAND,3889.0,72600.0,18.67,101.0,AGRICULTURAL SCIENCES
UNIVERSITY OF MASSACHUSETTS SYSTEM,USA,2067.0,72467.0,35.06,130.0,AGRICULTURAL SCIENCES
UNIVERSITY OF FLORIDA,USA,4339.0,71344.0,16.44,44.0,AGRICULTURAL SCIENCES
NANCHANG UNIVERSITY,CHINA MAINLAND,2727.0,71192.0,26.11,84.0,AGRICULTURAL SCIENCES
BEIJING TECHNOLOGY & BUSINESS UNIVERSITY,CHINA MAINLAND,3167.0,70943.0,22.4,82.0,AGRICULTURAL SCIENCES
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA (EMBRAPA),BRAZIL,6584.0,70139.0,10.65,15.0,AGRICULTURAL SCIENCES
AGRICULTURE & AGRI FOOD CANADA,CANADA,2878.0,69358.0,24.1,42.0,AGRICULTURAL SCIENCES
UNIVERSITY OF MASSACHUSETTS AMHERST,USA,1890.0,68947.0,36.48,128.0,AGRICULTURAL SCIENCES
COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO),AUSTRALIA,2648.0,68748.0,25.96,44.0,AGRICULTURAL SCIENCES
INSTITUT AGRO,FRANCE,3871.0,68717.0,17.75,32.0,AGRICULTURAL SCIENCES
CONSIGLIO NAZIONALE DELLE RICERCHE (CNR),ITALY,3172.0,67951.0,21.42,37.0,AGRICULTURAL SCIENCES
UNIVERSITY OF COPENHAGEN,DENMARK,3094.0,67924.0,21.95,42.0,AGRICULTURAL SCIENCES
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET),ARGENTINA,4128.0,66222.0,16.04,22.0,AGRICULTURAL SCIENCES
UNIVERSITY OF GUELPH,CANADA,2767.0,60087.0,21.72,38.0,AGRICULTURAL SCIENCES
GHENT UNIVERSITY,BELGIUM,2700.0,60061.0,22.24,36.0,AGRICULTURAL SCIENCES
SOUTH CHINA AGRICULTURAL UNIVERSITY,CHINA MAINLAND,3776.0,59314.0,15.71,25.0,AGRICULTURAL SCIENCES
