univ,country,docs,cites,cpp,top_papers,subject
IDIBAPS,SPAIN,559.0,15473.0,27.68,9.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF INNSBRUCK,AUSTRIA,678.0,15470.0,22.82,6.0,BIOLOGY & BIOCHEMISTRY
PARACELSUS PRIVATE MEDICAL UNIVERSITY,AUSTRIA,331.0,15467.0,46.73,6.0,BIOLOGY & BIOCHEMISTRY
NATIONAL RESEARCH COUNCIL CANADA,CANADA,430.0,15467.0,35.97,5.0,BIOLOGY & BIOCHEMISTRY
SAINT LOUIS UNIVERSITY,USA,601.0,15463.0,25.73,9.0,BIOLOGY & BIOCHEMISTRY
HEBEI MEDICAL UNIVERSITY,CHINA MAINLAND,1375.0,15460.0,11.24,4.0,BIOLOGY & BIOCHEMISTRY
ZAGAZIG UNIVERSITY,EGYPT,957.0,15454.0,16.15,7.0,BIOLOGY & BIOCHEMISTRY
MARCHE POLYTECHNIC UNIVERSITY,ITALY,660.0,15450.0,23.41,6.0,BIOLOGY & BIOCHEMISTRY
MINIST AGR,,594.0,15436.0,25.99,2.0,BIOLOGY & BIOCHEMISTRY
NIIGATA UNIVERSITY,JAPAN,839.0,15393.0,18.35,7.0,BIOLOGY & BIOCHEMISTRY
EOTVOS LORAND UNIVERSITY,HUNGARY,622.0,15376.0,24.72,10.0,BIOLOGY & BIOCHEMISTRY
SWANSEA UNIVERSITY,WALES,423.0,15364.0,36.32,12.0,BIOLOGY & BIOCHEMISTRY
ASTON UNIVERSITY,ENGLAND,314.0,15349.0,48.88,4.0,BIOLOGY & BIOCHEMISTRY
GEORGIA STATE UNIVERSITY,USA,613.0,15324.0,25.0,8.0,BIOLOGY & BIOCHEMISTRY
CSIRO LAND & WATER,AUSTRALIA,104.0,15319.0,147.3,3.0,BIOLOGY & BIOCHEMISTRY
KAOHSIUNG MEDICAL UNIVERSITY,TAIWAN,917.0,15308.0,16.69,7.0,BIOLOGY & BIOCHEMISTRY
QILU UNIVERSITY OF TECHNOLOGY,CHINA MAINLAND,911.0,15269.0,16.76,8.0,BIOLOGY & BIOCHEMISTRY
LAVAL UNIVERSITY HOSPITAL,CANADA,633.0,15257.0,24.1,6.0,BIOLOGY & BIOCHEMISTRY
NATIONAL INSTITUTE OF STANDARDS & TECHNOLOGY (NIST) - USA,USA,501.0,15253.0,30.45,17.0,BIOLOGY & BIOCHEMISTRY
GACHON UNIVERSITY,SOUTH KOREA,834.0,15211.0,18.24,6.0,BIOLOGY & BIOCHEMISTRY
TECHNICAL UNIVERSITY OF DARMSTADT,GERMANY (FED REP GER),482.0,15147.0,31.43,2.0,BIOLOGY & BIOCHEMISTRY
NATIONAL RENEWABLE ENERGY LABORATORY - USA,USA,431.0,15133.0,35.11,9.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF AGRICULTURE FAISALABAD,PAKISTAN,573.0,15131.0,26.41,7.0,BIOLOGY & BIOCHEMISTRY
NATIONAL INSTITUTES OF NATURAL SCIENCES (NINS) - JAPAN,JAPAN,793.0,15122.0,19.07,4.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF WOLLONGONG,AUSTRALIA,542.0,15106.0,27.87,5.0,BIOLOGY & BIOCHEMISTRY
UCLA JONSSON COMPREHENSIVE CANCER CENTER,USA,227.0,15071.0,66.39,10.0,BIOLOGY & BIOCHEMISTRY
AIN SHAMS UNIVERSITY,EGYPT,927.0,15046.0,16.23,6.0,BIOLOGY & BIOCHEMISTRY
JEONBUK NATIONAL UNIVERSITY,SOUTH KOREA,892.0,15012.0,16.83,6.0,BIOLOGY & BIOCHEMISTRY
MOSCOW INSTITUTE OF PHYSICS & TECHNOLOGY,RUSSIA,712.0,15000.0,21.07,8.0,BIOLOGY & BIOCHEMISTRY
A*STAR - INSTITUTE OF MOLECULAR & CELL BIOLOGY (IMCB),SINGAPORE,463.0,14982.0,32.36,10.0,BIOLOGY & BIOCHEMISTRY
LOYOLA UNIVERSITY CHICAGO,USA,419.0,14962.0,35.71,4.0,BIOLOGY & BIOCHEMISTRY
HEIDELBERG INSTITUTE FOR THEORETICAL STUDIES,GERMANY (FED REP GER),134.0,14944.0,111.52,9.0,BIOLOGY & BIOCHEMISTRY
TEXAS TECH UNIVERSITY,USA,660.0,14922.0,22.61,6.0,BIOLOGY & BIOCHEMISTRY
INSTITUTE OF PHYSIOLOGY OF THE CZECH ACADEMY OF SCIENCES,CZECH REPUBLIC,482.0,14908.0,30.93,3.0,BIOLOGY & BIOCHEMISTRY
CHIBA UNIVERSITY,JAPAN,854.0,14902.0,17.45,6.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,USA,675.0,14895.0,22.07,8.0,BIOLOGY & BIOCHEMISTRY
SHANGHAI UNIVERSITY,CHINA MAINLAND,828.0,14861.0,17.95,14.0,BIOLOGY & BIOCHEMISTRY
BAYER AG,GERMANY (FED REP GER),332.0,14846.0,44.72,6.0,BIOLOGY & BIOCHEMISTRY
GERMAN RESEARCH FOUNDATION (DFG),GERMANY (FED REP GER),269.0,14803.0,55.03,13.0,BIOLOGY & BIOCHEMISTRY
NATIONWIDE CHILDRENS HOSPITAL,USA,309.0,14765.0,47.78,7.0,BIOLOGY & BIOCHEMISTRY
HUNAN AGRICULTURAL UNIVERSITY,CHINA MAINLAND,625.0,14765.0,23.62,15.0,BIOLOGY & BIOCHEMISTRY
XUZHOU MEDICAL UNIVERSITY,CHINA MAINLAND,1132.0,14697.0,12.98,7.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF JOHANNESBURG,SOUTH AFRICA,482.0,14668.0,30.43,14.0,BIOLOGY & BIOCHEMISTRY
ISTANBUL UNIVERSITY,TURKIYE,764.0,14638.0,19.16,1.0,BIOLOGY & BIOCHEMISTRY
SCHLESWIG HOLSTEIN UNIVERSITY HOSPITAL,GERMANY (FED REP GER),440.0,14618.0,33.22,7.0,BIOLOGY & BIOCHEMISTRY
CHUNG ANG UNIVERSITY,SOUTH KOREA,943.0,14607.0,15.49,6.0,BIOLOGY & BIOCHEMISTRY
GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,CHINA MAINLAND,1052.0,14581.0,13.86,10.0,BIOLOGY & BIOCHEMISTRY
BIRKBECK UNIVERSITY LONDON,ENGLAND,482.0,14533.0,30.15,10.0,BIOLOGY & BIOCHEMISTRY
HAPLOX BIOTECHNOL,,6.0,14520.0,2420.0,1.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF NAVARRA,SPAIN,610.0,14516.0,23.8,10.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF HOUSTON,USA,752.0,14489.0,19.27,9.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF HOUSTON SYSTEM,USA,752.0,14489.0,19.27,9.0,BIOLOGY & BIOCHEMISTRY
HAINAN UNIVERSITY,CHINA MAINLAND,836.0,14488.0,17.33,13.0,BIOLOGY & BIOCHEMISTRY
INSTITUTE OF BIOORGANIC CHEMISTRY OF THE RUSSIAN ACADEMY OF SCIENCES,RUSSIA,1055.0,14488.0,13.73,6.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF SOUTH BOHEMIA CESKE BUDEJOVICE,CZECH REPUBLIC,633.0,14480.0,22.88,7.0,BIOLOGY & BIOCHEMISTRY
NORTHWEST UNIVERSITY XI'AN,CHINA MAINLAND,918.0,14427.0,15.72,7.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF L'AQUILA,ITALY,480.0,14412.0,30.02,6.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF SURREY,ENGLAND,555.0,14385.0,25.92,12.0,BIOLOGY & BIOCHEMISTRY
STATE KEY LAB ONCOLOGY SOUTH CHINA,CHINA MAINLAND,580.0,14341.0,24.73,17.0,BIOLOGY & BIOCHEMISTRY
GUANGXI MEDICAL UNIVERSITY,CHINA MAINLAND,1307.0,14268.0,10.92,7.0,BIOLOGY & BIOCHEMISTRY
UNIVERSIDADE FEDERAL DE SAO CARLOS,BRAZIL,798.0,14244.0,17.85,8.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF KWAZULU NATAL,SOUTH AFRICA,768.0,14236.0,18.54,3.0,BIOLOGY & BIOCHEMISTRY
SCRIPPS INSTITUTION OF OCEANOGRAPHY,USA,371.0,14162.0,38.17,9.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF LUBECK,GERMANY (FED REP GER),589.0,14159.0,24.04,13.0,BIOLOGY & BIOCHEMISTRY
BEIJING UNIVERSITY OF CHINESE MEDICINE,CHINA MAINLAND,834.0,14147.0,16.96,13.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF PARMA,ITALY,694.0,14110.0,20.33,6.0,BIOLOGY & BIOCHEMISTRY
HUBRECHT INSTITUTE (KNAW),NETHERLANDS,200.0,14094.0,70.47,19.0,BIOLOGY & BIOCHEMISTRY
UIT THE ARCTIC UNIVERSITY OF TROMSO,NORWAY,600.0,14089.0,23.48,8.0,BIOLOGY & BIOCHEMISTRY
G D'ANNUNZIO UNIVERSITY OF CHIETI-PESCARA,ITALY,751.0,14086.0,18.76,4.0,BIOLOGY & BIOCHEMISTRY
OSAKA METROPOLITAN UNIVERSITY,JAPAN,919.0,14078.0,15.32,2.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF TABRIZ,IRAN,515.0,14076.0,27.33,3.0,BIOLOGY & BIOCHEMISTRY
CIBERER,SPAIN,688.0,14056.0,20.43,3.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF MURCIA,SPAIN,715.0,13999.0,19.58,8.0,BIOLOGY & BIOCHEMISTRY
NOVO NORDISK,DENMARK,446.0,13975.0,31.33,15.0,BIOLOGY & BIOCHEMISTRY
AMGEN,USA,412.0,13954.0,33.87,8.0,BIOLOGY & BIOCHEMISTRY
UNIVERSIDADE FEDERAL DO CEARA,BRAZIL,777.0,13952.0,17.96,4.0,BIOLOGY & BIOCHEMISTRY
"QINGDAO INSTITUTE OF BIOENERGY & BIOPROCESS TECHNOLOGY, CAS",CHINA MAINLAND,555.0,13943.0,25.12,5.0,BIOLOGY & BIOCHEMISTRY
SLAC NATIONAL ACCELERATOR LABORATORY,USA,304.0,13940.0,45.86,12.0,BIOLOGY & BIOCHEMISTRY
"JAWAHARLAL NEHRU UNIVERSITY, NEW DELHI",INDIA,792.0,13885.0,17.53,4.0,BIOLOGY & BIOCHEMISTRY
MANIPAL ACADEMY OF HIGHER EDUCATION (MAHE),INDIA,976.0,13854.0,14.19,6.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF PATRAS,GREECE,574.0,13853.0,24.13,9.0,BIOLOGY & BIOCHEMISTRY
SHANTOU UNIVERSITY,CHINA MAINLAND,877.0,13826.0,15.77,9.0,BIOLOGY & BIOCHEMISTRY
HASSELT UNIVERSITY,BELGIUM,294.0,13772.0,46.84,10.0,BIOLOGY & BIOCHEMISTRY
KANAZAWA UNIVERSITY,JAPAN,850.0,13765.0,16.19,2.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF BATH,ENGLAND,617.0,13742.0,22.27,5.0,BIOLOGY & BIOCHEMISTRY
HOSPITAL DEL MAR RESEARCH INSTITUTE,SPAIN,375.0,13725.0,36.6,8.0,BIOLOGY & BIOCHEMISTRY
HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY,HONG KONG,710.0,13691.0,19.28,7.0,BIOLOGY & BIOCHEMISTRY
NORTHWESTERN POLYTECHNICAL UNIVERSITY,CHINA MAINLAND,668.0,13680.0,20.48,12.0,BIOLOGY & BIOCHEMISTRY
FLINDERS UNIVERSITY SOUTH AUSTRALIA,AUSTRALIA,619.0,13678.0,22.1,11.0,BIOLOGY & BIOCHEMISTRY
VITO,BELGIUM,155.0,13656.0,88.1,8.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF CAGLIARI,ITALY,656.0,13640.0,20.79,5.0,BIOLOGY & BIOCHEMISTRY
INSTITUT PAOLI-CALMETTE (IPC),FRANCE,246.0,13597.0,55.27,4.0,BIOLOGY & BIOCHEMISTRY
INDIAN INSTITUTE OF TECHNOLOGY (IIT) - GUWAHATI,INDIA,693.0,13592.0,19.61,3.0,BIOLOGY & BIOCHEMISTRY
YOKOHAMA CITY UNIVERSITY,JAPAN,712.0,13586.0,19.08,9.0,BIOLOGY & BIOCHEMISTRY
AALBORG UNIVERSITY HOSPITAL,DENMARK,194.0,13568.0,69.94,4.0,BIOLOGY & BIOCHEMISTRY
BAR ILAN UNIVERSITY,ISRAEL,671.0,13560.0,20.21,8.0,BIOLOGY & BIOCHEMISTRY
CENTERS FOR DISEASE CONTROL & PREVENTION - USA,USA,367.0,13557.0,36.94,8.0,BIOLOGY & BIOCHEMISTRY
"RESEARCH CENTER FOR ECO-ENVIRONMENTAL SCIENCES (RCEES), CAS",CHINA MAINLAND,399.0,13553.0,33.97,3.0,BIOLOGY & BIOCHEMISTRY
CHILDREN'S HOSPITAL LOS ANGELES,USA,231.0,13523.0,58.54,4.0,BIOLOGY & BIOCHEMISTRY
KOREA UNIVERSITY MEDICINE (KU MEDICINE),SOUTH KOREA,692.0,13517.0,19.53,6.0,BIOLOGY & BIOCHEMISTRY
UNIVERSIDADE DE VIGO,SPAIN,605.0,13510.0,22.33,9.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF ZARAGOZA,SPAIN,776.0,13485.0,17.38,5.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF SOUTH CAROLINA SYSTEM,USA,588.0,13470.0,22.91,4.0,BIOLOGY & BIOCHEMISTRY
RUTGERS CANCER INSTITUTE OF NEW JERSEY,USA,276.0,13453.0,48.74,17.0,BIOLOGY & BIOCHEMISTRY
GRIFFITH UNIVERSITY - GOLD COAST CAMPUS,AUSTRALIA,463.0,13451.0,29.05,8.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF SOUTH CAROLINA COLUMBIA,USA,587.0,13427.0,22.87,4.0,BIOLOGY & BIOCHEMISTRY
OPEN TARGETS,,33.0,13407.0,406.27,13.0,BIOLOGY & BIOCHEMISTRY
HUN-REN RESEARCH CENTRE FOR NATURAL SCIENCES,HUNGARY,505.0,13363.0,26.46,12.0,BIOLOGY & BIOCHEMISTRY
UNIVERSIDADE FEDERAL DE SANTA CATARINA (UFSC),BRAZIL,782.0,13353.0,17.08,4.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF PRETORIA,SOUTH AFRICA,652.0,13345.0,20.47,9.0,BIOLOGY & BIOCHEMISTRY
TOKYO UNIVERSITY OF AGRICULTURE & TECHNOLOGY,JAPAN,747.0,13324.0,17.84,8.0,BIOLOGY & BIOCHEMISTRY
INSTITUT PASTEUR LILLE,FRANCE,378.0,13295.0,35.17,11.0,BIOLOGY & BIOCHEMISTRY
PALACKY UNIVERSITY OLOMOUC,CZECH REPUBLIC,706.0,13290.0,18.82,5.0,BIOLOGY & BIOCHEMISTRY
TECNOLOGICO DE MONTERREY,MEXICO,523.0,13272.0,25.38,9.0,BIOLOGY & BIOCHEMISTRY
COLLEGIUM MEDICUM JAGIELLONIAN UNIVERSITY,POLAND,850.0,13270.0,15.61,2.0,BIOLOGY & BIOCHEMISTRY
INSTITUTO POLITECNICO NACIONAL - MEXICO,MEXICO,1007.0,13245.0,13.15,6.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF DEBRECEN,HUNGARY,790.0,13193.0,16.7,9.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF SOUTH CHINA,CHINA MAINLAND,999.0,13172.0,13.19,16.0,BIOLOGY & BIOCHEMISTRY
GERIATRIC RESEARCH EDUCATION & CLINICAL CENTER,USA,461.0,13163.0,28.55,9.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY HOSPITALS OF CLEVELAND,USA,219.0,13160.0,60.09,8.0,BIOLOGY & BIOCHEMISTRY
INDIAN COUNCIL OF MEDICAL RESEARCH (ICMR),INDIA,934.0,13153.0,14.08,2.0,BIOLOGY & BIOCHEMISTRY
NATIONAL INSTITUTE OF GENETICS (NIG) - JAPAN,JAPAN,303.0,13150.0,43.4,6.0,BIOLOGY & BIOCHEMISTRY
WASEDA UNIVERSITY,JAPAN,788.0,13136.0,16.67,5.0,BIOLOGY & BIOCHEMISTRY
UCSF HELEN DILLER FAMILY COMPREHENSIVE CANCER CENTER,USA,206.0,13134.0,63.76,17.0,BIOLOGY & BIOCHEMISTRY
HERIOT WATT UNIVERSITY,SCOTLAND,237.0,13132.0,55.41,5.0,BIOLOGY & BIOCHEMISTRY
GYEONGSANG NATIONAL UNIVERSITY,SOUTH KOREA,694.0,13122.0,18.91,2.0,BIOLOGY & BIOCHEMISTRY
RAGON INSTITUTE,USA,218.0,13101.0,60.1,22.0,BIOLOGY & BIOCHEMISTRY
GERMAN CENTRE FOR INTEGRATIVE BIODIVERSITY RESEARCH (IDIV),GERMANY (FED REP GER),233.0,13096.0,56.21,11.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF SOUTH AUSTRALIA,AUSTRALIA,548.0,13075.0,23.86,5.0,BIOLOGY & BIOCHEMISTRY
BRAUNSCHWEIG UNIVERSITY OF TECHNOLOGY,GERMANY (FED REP GER),552.0,13039.0,23.62,13.0,BIOLOGY & BIOCHEMISTRY
PENNINGTON BIOMEDICAL RESEARCH CENTER,USA,438.0,13037.0,29.76,11.0,BIOLOGY & BIOCHEMISTRY
ANNA UNIVERSITY,INDIA,513.0,13010.0,25.36,8.0,BIOLOGY & BIOCHEMISTRY
SZEGED UNIVERSITY,HUNGARY,855.0,12997.0,15.2,7.0,BIOLOGY & BIOCHEMISTRY
TECHNISCHE UNIVERSITAT WIEN,AUSTRIA,502.0,12985.0,25.87,9.0,BIOLOGY & BIOCHEMISTRY
CHINA MEDICAL UNIVERSITY HOSPITAL - TAIWAN,TAIWAN,790.0,12983.0,16.43,7.0,BIOLOGY & BIOCHEMISTRY
TANTA UNIVERSITY,EGYPT,624.0,12981.0,20.8,10.0,BIOLOGY & BIOCHEMISTRY
UCL MEDICAL SCHOOL,ENGLAND,299.0,12977.0,43.4,11.0,BIOLOGY & BIOCHEMISTRY
INSTITUTE FOR RESEARCH IN BIOMEDICINE - IRB BARCELONA,SPAIN,468.0,12959.0,27.69,8.0,BIOLOGY & BIOCHEMISTRY
NATIONAL CHUNG HSING UNIVERSITY,TAIWAN,752.0,12952.0,17.22,4.0,BIOLOGY & BIOCHEMISTRY
CHULALONGKORN UNIVERSITY,THAILAND,951.0,12924.0,13.59,8.0,BIOLOGY & BIOCHEMISTRY
RUSSIAN ACADEMY OF MEDICAL SCIENCES,RUSSIA,948.0,12856.0,13.56,6.0,BIOLOGY & BIOCHEMISTRY
TEAGASC,IRELAND,258.0,12835.0,49.75,10.0,BIOLOGY & BIOCHEMISTRY
MASSEY UNIVERSITY,NEW ZEALAND,503.0,12833.0,25.51,6.0,BIOLOGY & BIOCHEMISTRY
SEOUL NATIONAL UNIVERSITY HOSPITAL,SOUTH KOREA,703.0,12826.0,18.24,9.0,BIOLOGY & BIOCHEMISTRY
GRADUATE UNIVERSITY FOR ADVANCED STUDIES - JAPAN,JAPAN,552.0,12825.0,23.23,2.0,BIOLOGY & BIOCHEMISTRY
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA (EMBRAPA),BRAZIL,712.0,12813.0,18.0,4.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF STUTTGART,GERMANY (FED REP GER),591.0,12810.0,21.68,4.0,BIOLOGY & BIOCHEMISTRY
MURDOCH UNIVERSITY,AUSTRALIA,416.0,12788.0,30.74,14.0,BIOLOGY & BIOCHEMISTRY
OLLSCOIL NA GAILLIMHE-UNIVERSITY OF GALWAY,IRELAND,427.0,12746.0,29.85,6.0,BIOLOGY & BIOCHEMISTRY
INSTITUTE OF MICROBIOLOGY OF THE CZECH ACADEMY OF SCIENCES,CZECH REPUBLIC,552.0,12702.0,23.01,7.0,BIOLOGY & BIOCHEMISTRY
NANJING NORMAL UNIVERSITY,CHINA MAINLAND,808.0,12691.0,15.71,2.0,BIOLOGY & BIOCHEMISTRY
BRISTOL-MYERS SQUIBB,USA,480.0,12632.0,26.32,7.0,BIOLOGY & BIOCHEMISTRY
BUCK INSTITUTE FOR RESEARCH ON AGING,USA,199.0,12616.0,63.4,15.0,BIOLOGY & BIOCHEMISTRY
"DALIAN INSTITUTE OF CHEMICAL PHYSICS, CAS",CHINA MAINLAND,525.0,12567.0,23.94,9.0,BIOLOGY & BIOCHEMISTRY
SRM INSTITUTE OF SCIENCE & TECHNOLOGY CHENNAI,INDIA,648.0,12566.0,19.39,6.0,BIOLOGY & BIOCHEMISTRY
BRANDEIS UNIVERSITY,USA,441.0,12550.0,28.46,6.0,BIOLOGY & BIOCHEMISTRY
ADAM MICKIEWICZ UNIVERSITY,POLAND,628.0,12549.0,19.98,3.0,BIOLOGY & BIOCHEMISTRY
NATIONAL HOSPITAL NORWAY,NORWAY,200.0,12538.0,62.69,2.0,BIOLOGY & BIOCHEMISTRY
TORONTO GENERAL HOSPITAL,CANADA,223.0,12537.0,56.22,3.0,BIOLOGY & BIOCHEMISTRY
GLAXOSMITHKLINE USA,USA,299.0,12537.0,41.93,12.0,BIOLOGY & BIOCHEMISTRY
BEIJING TECHNOLOGY & BUSINESS UNIVERSITY,CHINA MAINLAND,615.0,12496.0,20.32,7.0,BIOLOGY & BIOCHEMISTRY
DIAMOND LIGHT SOURCE,ENGLAND,372.0,12471.0,33.52,7.0,BIOLOGY & BIOCHEMISTRY
INDIAN INSTITUTE OF TECHNOLOGY (IIT) - KHARAGPUR,INDIA,605.0,12468.0,20.61,2.0,BIOLOGY & BIOCHEMISTRY
OXFORD BROOKES UNIVERSITY,ENGLAND,207.0,12455.0,60.17,5.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITI KEBANGSAAN MALAYSIA,MALAYSIA,718.0,12448.0,17.34,6.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF WITWATERSRAND,SOUTH AFRICA,706.0,12433.0,17.61,4.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF FRIBOURG,SWITZERLAND,477.0,12414.0,26.03,6.0,BIOLOGY & BIOCHEMISTRY
ELI LILLY,USA,430.0,12392.0,28.82,9.0,BIOLOGY & BIOCHEMISTRY
ISFAHAN UNIVERSITY OF MEDICAL SCIENCES,IRAN,654.0,12388.0,18.94,5.0,BIOLOGY & BIOCHEMISTRY
QUADRAM INSTITUTE,ENGLAND,214.0,12380.0,57.85,7.0,BIOLOGY & BIOCHEMISTRY
NATIONAL INSTITUTE OF CHEMISTRY - SLOVENIA,SLOVENIA,292.0,12376.0,42.38,4.0,BIOLOGY & BIOCHEMISTRY
DEUTSCHES INSTITUT FUR ERNAHRUNGSFORSCHUNG POTSDAM-REHBRUCKE (DIFE),GERMANY (FED REP GER),304.0,12373.0,40.7,6.0,BIOLOGY & BIOCHEMISTRY
ACADEMY OF MILITARY MEDICAL SCIENCES - CHINA,CHINA MAINLAND,659.0,12343.0,18.73,8.0,BIOLOGY & BIOCHEMISTRY
FLORIDA INTERNATIONAL UNIVERSITY,USA,504.0,12311.0,24.43,7.0,BIOLOGY & BIOCHEMISTRY
IFREMER,FRANCE,365.0,12296.0,33.69,5.0,BIOLOGY & BIOCHEMISTRY
INSTITUT POLYTECHNIQUE DE PARIS,FRANCE,416.0,12293.0,29.55,9.0,BIOLOGY & BIOCHEMISTRY
SKOLKOVO INSTITUTE OF SCIENCE & TECHNOLOGY,RUSSIA,415.0,12284.0,29.6,10.0,BIOLOGY & BIOCHEMISTRY
RESEARCH CENTER OF BIOTECHNOLOGY RAS,RUSSIA,906.0,12249.0,13.52,3.0,BIOLOGY & BIOCHEMISTRY
BIOLOGY CENTRE OF THE CZECH ACADEMY OF SCIENCES,CZECH REPUBLIC,514.0,12247.0,23.83,6.0,BIOLOGY & BIOCHEMISTRY
MACAU UNIVERSITY OF SCIENCE & TECHNOLOGY,MACAU,403.0,12233.0,30.35,13.0,BIOLOGY & BIOCHEMISTRY
CIBERNED,SPAIN,372.0,12232.0,32.88,6.0,BIOLOGY & BIOCHEMISTRY
WORLD HEALTH ORGANIZATION,SWITZERLAND,313.0,12226.0,39.06,4.0,BIOLOGY & BIOCHEMISTRY
INSTITUT PASTEUR DE MONTEVIDEO,URUGUAY,208.0,12218.0,58.74,4.0,BIOLOGY & BIOCHEMISTRY
ABERYSTWYTH UNIVERSITY,WALES,198.0,12193.0,61.58,5.0,BIOLOGY & BIOCHEMISTRY
JUNTENDO UNIVERSITY,JAPAN,824.0,12162.0,14.76,3.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF SOUTH ALABAMA,USA,245.0,12156.0,49.62,5.0,BIOLOGY & BIOCHEMISTRY
SHANDONG AGRICULTURAL UNIVERSITY,CHINA MAINLAND,663.0,12155.0,18.33,7.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITE MARIE ET LOUIS PASTEUR,FRANCE,261.0,12137.0,46.5,4.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY HOSPITAL LEUVEN,BELGIUM,409.0,12135.0,29.67,7.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF CENTRAL FLORIDA,USA,475.0,12117.0,25.51,8.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF CALIFORNIA MERCED,USA,301.0,12100.0,40.2,11.0,BIOLOGY & BIOCHEMISTRY
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON - INSA LYON,FRANCE,572.0,12084.0,21.13,5.0,BIOLOGY & BIOCHEMISTRY
BOSTON MEDICAL CENTER,USA,104.0,12075.0,116.11,1.0,BIOLOGY & BIOCHEMISTRY
HUBEI UNIVERSITY,CHINA MAINLAND,689.0,12036.0,17.47,9.0,BIOLOGY & BIOCHEMISTRY
BENI SUEF UNIVERSITY,EGYPT,601.0,12003.0,19.97,7.0,BIOLOGY & BIOCHEMISTRY
DONGHUA UNIVERSITY,CHINA MAINLAND,532.0,12002.0,22.56,6.0,BIOLOGY & BIOCHEMISTRY
"INSTITUTE OF HYDROBIOLOGY, CAS",CHINA MAINLAND,500.0,11978.0,23.96,3.0,BIOLOGY & BIOCHEMISTRY
MAASTRICHT UNIVERSITY MEDICAL CENTRE (MUMC),NETHERLANDS,459.0,11968.0,26.07,9.0,BIOLOGY & BIOCHEMISTRY
NAGASAKI UNIVERSITY,JAPAN,785.0,11958.0,15.23,3.0,BIOLOGY & BIOCHEMISTRY
CHINESE ACADEMY OF FISHERY SCIENCES,CHINA MAINLAND,896.0,11957.0,13.34,4.0,BIOLOGY & BIOCHEMISTRY
CENTRE HOSPITALIER UNIVERSITAIRE D'ANGERS,FRANCE,246.0,11894.0,48.35,6.0,BIOLOGY & BIOCHEMISTRY
NORTH WEST UNIVERSITY - SOUTH AFRICA,SOUTH AFRICA,392.0,11890.0,30.33,8.0,BIOLOGY & BIOCHEMISTRY
JAMIA HAMDARD UNIVERSITY,INDIA,551.0,11890.0,21.58,5.0,BIOLOGY & BIOCHEMISTRY
KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA MAINLAND,727.0,11873.0,16.33,7.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF KARACHI,PAKISTAN,658.0,11866.0,18.03,3.0,BIOLOGY & BIOCHEMISTRY
NORMANDIE UNIV,,770.0,11834.0,15.37,5.0,BIOLOGY & BIOCHEMISTRY
UNIVERSITY OF ROSTOCK,GERMANY (FED REP GER),684.0,11770.0,17.21,3.0,BIOLOGY & BIOCHEMISTRY
